report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit,location_geometry
2016-04-02,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,618,cases,POINT(-62.668875 -10.626234)
2016-04-02,Brazil-Acre,state,zika_reported,BR0011,NA,NA,375,cases,POINT(-70.208121 -8.385155)
2016-04-02,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,1520,cases,POINT(-60.195857 -3.247739)
2016-04-02,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,44,cases,POINT(-60.705519 2.821148)
2016-04-02,Brazil-Para,state,zika_reported,BR0011,NA,NA,771,cases,POINT(-48.826242 1.792312)
2016-04-02,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,74,cases,POINT(-50.644559 1.766988)
2016-04-02,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2893,cases,POINT(-48.200043 -7.299982)
2016-04-02,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,1202,cases,POINT(-44.268176 -2.563127)
2016-04-02,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,7,cases,POINT(-42.163776 -5.155692)
2016-04-02,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,156,cases,POINT(-38.627156 -3.805892)
2016-04-02,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,640,cases,POINT(-35.488828 -5.719307)
2016-04-02,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,1060,cases,POINT(-35.275445 -7.016264)
2016-04-02,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,333,cases,POINT(-35.272464 -8.233777)
2016-04-02,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,1479,cases,POINT(-36.200300 -9.515002)
2016-04-02,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,348,cases,POINT(-37.109195 -10.798909)
2016-04-02,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,25061,cases,POINT(-39.359380 -12.430603)
2016-04-02,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,6693,cases,POINT(-43.991905 -19.997158)
2016-04-02,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,1382,cases,POINT(-40.380755 -20.307727)
2016-04-02,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,25930,cases,POINT(-43.279601 -22.906460)
2016-04-02,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,1500,cases,POINT(-46.617308 -23.570181)
2016-04-02,Brazil-Parana,state,zika_reported,BR0011,NA,NA,1540,cases,POINT(-48.621299 -25.277669)
2016-04-02,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,62,cases,POINT(-48.756148 -27.352932)
2016-04-02,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,195,cases,POINT(-51.064701 -30.167696)
2016-04-02,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,296,cases,POINT(-54.623089 -20.511859)
2016-04-02,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,16055,cases,POINT(-51.064701 -30.167696)
2016-04-02,Brazil-Goias,state,zika_reported,BR0011,NA,NA,920,cases,POINT(-49.136605 -16.913260)
2016-04-02,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,233,cases,POINT(-47.863917 -15.820193)
2016-04-02,Brazil,country,zika_reported,BR0011,NA,NA,91387,cases,POINT(-49.994685 -9.451811)
