"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit",location_geometry
"2016-02-03","Haiti-Artibonite-Desssalines_Marchand","municipality","total_zika_new_suspected","HA0001",NA,NA,1,"cases",POINT(-72.519808 19.259925)
"2016-02-03","Haiti-Artibonite-Ennery","municipality","total_zika_new_suspected","HA0001",NA,NA,7,"cases",POINT(-72.482447 19.484032)
"2016-02-03","Haiti-Artibonite-Gonaives","municipality","total_zika_new_suspected","HA0001",NA,NA,3,"cases",POINT(-72.691391 19.451117)
"2016-02-03","Haiti-Artibonite-Verrettes","municipality","total_zika_new_suspected","HA0001",NA,NA,42,"cases",POINT(-72.466268 19.051549)
"2016-02-03","Haiti-Artibonite","province","total_zika_new_suspected","HA0001",NA,NA,53,"cases",POINT(-72.517432 19.397643)
"2016-02-03","Haiti-Centre-Hinche","municipality","total_zika_new_suspected","HA0001",NA,NA,7,"cases",POINT(-72.010722 19.141986)
"2016-02-03","Haiti-Centre-Maissade","municipality","total_zika_new_suspected","HA0001",NA,NA,3,"cases",POINT(-72.139979 19.175686)
"2016-02-03","Haiti-Centre-Mirebalais","municipality","total_zika_new_suspected","HA0001",NA,NA,22,"cases",POINT(-72.105653 18.833920)
"2016-02-03","Haiti-Centre","province","total_zika_new_suspected","HA0001",NA,NA,32,"cases",POINT(-72.014557 18.991410)
"2016-02-03","Haiti-Grande_Anse-Corail","municipality","total_zika_new_suspected","HA0001",NA,NA,1,"cases",POINT(-73.891446 18.567773)
"2016-02-03","Haiti-Grande_Anse-Dame_Marie","municipality","total_zika_new_suspected","HA0001",NA,NA,3,"cases",POINT(-74.422797 18.562200)
"2016-02-03","Haiti-Grande_Anse-Roseaux","municipality","total_zika_new_suspected","HA0001",NA,NA,2,"cases",POINT(-74.019998 18.600365)
"2016-02-03","Haiti-Grande_Anse","province","total_zika_new_suspected","HA0001",NA,NA,6,"cases",POINT(-74.166718 18.531959)
"2016-02-03","Haiti-Nippes-Fond_Des_Negres","municipality","total_zika_new_suspected","HA0001",NA,NA,7,"cases",POINT(-73.212329 18.363574)
"2016-02-03","Haiti-Nippes-Miragoane","municipality","total_zika_new_suspected","HA0001",NA,NA,1,"cases",POINT(-73.089600 18.444723)
"2016-02-03","Haiti-Nippes","province","total_zika_new_suspected","HA0001",NA,NA,8,"cases",POINT(-73.410593 18.443029)
"2016-02-03","Haiti-Nord-Cap_Haitien","municipality","total_zika_new_suspected","HA0001",NA,NA,6,"cases",POINT(-72.20129 19.741951)
"2016-02-03","Haiti-Nord-Limbe","municipality","total_zika_new_suspected","HA0001",NA,NA,2,"cases",POINT(9.157297 4.019299)
"2016-02-03","Haiti-Nord-Milot","municipality","total_zika_new_suspected","HA0001",NA,NA,2,"cases",POINT(-72.214244 19.607531)
"2016-02-03","Haiti-Nord-Pignon","municipality","total_zika_new_suspected","HA0001",NA,NA,3,"cases",POINT(-72.116447 9.337962)
"2016-02-03","Haiti-Nord-Plaine_du_Nord","municipality","total_zika_new_suspected","HA0001",NA,NA,12,"cases",POINT(-72.269112 19.676111)
"2016-02-03","Haiti-Nord-Plaisance","municipality","total_zika_new_suspected","HA0001",NA,NA,4,"cases",POINT(-72.470520 19.597677)
"2016-02-03","Haiti-Nord","province","total_zika_new_suspected","HA0001",NA,NA,29,"cases",POINT(-72.276152 19.660421)
"2016-02-03","Haiti-Nord_Est-Ouanaminthe","municipality","total_zika_new_suspected","HA0001",NA,NA,4,"cases",POINT(-71.724089 19.549421)
"2016-02-03","Haiti-Nord_Est","province","total_zika_new_suspected","HA0001",NA,NA,4,"cases",POINT(-71.884139 19.522178)
"2016-02-03","Haiti-Nord_Ouest-La_Tortue","municipality","total_zika_new_suspected","HA0001",NA,NA,2,"cases",POINT(-72.794139 20.048549)
"2016-02-03","Haiti-Nord_Ouest-Saint_Louis_du_Nord","municipality","total_zika_new_suspected","HA0001",NA,NA,1,"cases",POINT(-72.716486 19.930791)
"2016-02-03","Haiti-Nord_Ouest","province","total_zika_new_suspected","HA0001",NA,NA,3,"cases",POINT(-73.069860 19.822966)
"2016-02-03","Haiti-Ouest-Carrefour","municipality","total_zika_new_suspected","HA0001",NA,NA,8,"cases",POINT(-72.406540 18.539240)
"2016-02-03","Haiti-Ouest-Croix_des_Bouquets","municipality","total_zika_new_suspected","HA0001",NA,NA,1,"cases",POINT(-72.227646 18.577381)
"2016-02-03","Haiti-Ouest-Delmas","municipality","total_zika_new_suspected","HA0001",NA,NA,13,"cases",POINT(-72.304818 18.543057)
"2016-02-03","Haiti-Ouest-Petion_Ville","municipality","total_zika_new_suspected","HA0001",NA,NA,31,"cases",POINT(-72.286302 18.512326)
"2016-02-03","Haiti-Ouest-Petit_Goave","municipality","total_zika_new_suspected","HA0001",NA,NA,2,"cases",POINT(-72.857978 18.434832)
"2016-02-03","Haiti-Ouest-Port_au_Prince","municipality","total_zika_new_suspected","HA0001",NA,NA,1,"cases",POINT(-72.300262 18.579636)
"2016-02-03","Haiti-Ouest","province","total_zika_new_suspected","HA0001",NA,NA,56,"cases",POINT(-72.411083 18.485300)
"2016-02-03","Haiti-Sud-Aquin","municipality","total_zika_new_suspected","HA0001",NA,NA,8,"cases",POINT(-73.393779 18.280458)
"2016-02-03","Haiti-Sud","province","total_zika_new_suspected","HA0001",NA,NA,8,"cases",POINT(-73.950926 18.291854)
"2016-02-03","Haiti-Sud_Est-Anse_A_Pitres","municipality","total_zika_new_suspected","HA0001",NA,NA,1,"cases",POINT(-71.759799 18.042971)
"2016-02-03","Haiti-Sud_Est-Cotes_de_Fer","municipality","total_zika_new_suspected","HA0001",NA,NA,3,"cases",POINT(-73.003238 18.189237)
"2016-02-03","Haiti-Sud_Est-Marigot","municipality","total_zika_new_suspected","HA0001",NA,NA,1,"cases",POINT(-72.324340 18.231425)
"2016-02-03","Haiti-Sud_Est","province","total_zika_new_suspected","HA0001",NA,NA,5,"cases",POINT(-72.380268 18.324267)
"2016-02-03","Haiti-Ouest","province","total_zika_new_suspected_cumulative","HA0002",NA,NA,100,"cases",POINT(-72.411083 18.485300)
"2016-02-03","Haiti-Nord","province","total_zika_new_suspected_cumulative","HA0002",NA,NA,70,"cases",POINT(-72.276152 19.660421)
"2016-02-03","Haiti-Artibonite","province","total_zika_new_suspected_cumulative","HA0002",NA,NA,59,"cases",POINT(-72.517432 19.397643)
"2016-02-03","Haiti-Centre","province","total_zika_new_suspected_cumulative","HA0002",NA,NA,47,"cases",POINT(-72.014557 18.991410)
"2016-02-03","Haiti-Nippes","province","total_zika_new_suspected_cumulative","HA0002",NA,NA,15,"cases",POINT(-73.410593 18.443029)
"2016-02-03","Haiti-Sud_Est","province","total_zika_new_suspected_cumulative","HA0002",NA,NA,11,"cases",POINT(-72.380268 18.324267)
"2016-02-03","Haiti-Sud","province","total_zika_new_suspected_cumulative","HA0002",NA,NA,11,"cases",POINT(-73.950926 18.291854)
"2016-02-03","Haiti-Nord_Est","province","total_zika_new_suspected_cumulative","HA0002",NA,NA,6,"cases",POINT(-71.884139 19.522178)
"2016-02-03","Haiti-Grande_Anse","province","total_zika_new_suspected_cumulative","HA0002",NA,NA,6,"cases",POINT(-74.166718 18.531959)
"2016-02-03","Haiti-Nord_Ouest","province","total_zika_new_suspected_cumulative","HA0002",NA,NA,4,"cases",POINT(-72.276152 19.660421)
"2016-02-03","Haiti","country","total_zika_new_suspected_cumulative","HA0002",NA,NA,329,"cases",POINT(-72.170592 19.052897)
